numbins,numitems,bitsperitem,rangeitems,distribution,instance_id,minmaxes,runtime
2,12,16,0.5,normal,0,"[{'split': 0, 'minmax': 315986.0}, {'split': 1, 'minmax': 315873.5}]",0.2692351309960941
2,12,16,0.5,normal,1,"[{'split': 0, 'minmax': 211878.0}, {'split': 1, 'minmax': 211869.0}]",0.24373091700545046
2,12,16,0.5,normal,2,"[{'split': 0, 'minmax': 187167.0}, {'split': 1, 'minmax': 187156.0}]",0.246992043001228
2,12,16,0.5,normal,3,"[{'split': 0, 'minmax': 94207.0}, {'split': 1, 'minmax': 94153.0}]",0.22106042598898057
2,12,16,0.5,normal,4,"[{'split': 0, 'minmax': 176454.0}, {'split': 1, 'minmax': 176442.0}]",0.18549017199256923
2,12,16,0.5,normal,5,"[{'split': 0, 'minmax': 366173.0}, {'split': 1, 'minmax': 366103.0}]",0.2475582830084022
2,12,16,0.5,normal,6,"[{'split': 0, 'minmax': 258430.0}, {'split': 1, 'minmax': 258428.5}]",0.2612226070050383
2,12,16,0.5,normal,7,"[{'split': 0, 'minmax': 349103.0}, {'split': 1, 'minmax': 348979.5}]",0.25992600599420257
2,12,16,0.5,normal,8,"[{'split': 0, 'minmax': 76335.0}, {'split': 1, 'minmax': 76334.0}]",0.26203547400655225
2,12,16,0.5,normal,9,"[{'split': 0, 'minmax': 163468.0}, {'split': 1, 'minmax': 163465.0}]",0.20790133300761227
2,14,16,0,randint,0,"[{'split': 0, 'minmax': 281691.0}, {'split': 1, 'minmax': 281674.5}]",0.5959981009946205
2,14,16,0,randint,1,"[{'split': 0, 'minmax': 274515.0}, {'split': 1, 'minmax': 274509.5}]",0.6030486149975332
2,14,16,0,randint,2,"[{'split': 0, 'minmax': 235678.0}, {'split': 1, 'minmax': 235658.5}]",0.4737211259925971
2,14,16,0,randint,3,"[{'split': 0, 'minmax': 182100.0}, {'split': 1, 'minmax': 182097.0}]",0.41156584001146257
2,14,16,0,randint,4,"[{'split': 0, 'minmax': 198334.0}, {'split': 1, 'minmax': 198303.0}]",0.6184656059922418
2,14,16,0,randint,5,"[{'split': 0, 'minmax': 229958.0}, {'split': 1, 'minmax': 229931.5}]",0.6074656420096289
2,14,16,0,randint,6,"[{'split': 0, 'minmax': 129111.0}, {'split': 1, 'minmax': 129110.5}]",0.2505901660042582
2,14,16,0,randint,7,"[{'split': 0, 'minmax': 199028.0}, {'split': 1, 'minmax': 198976.0}]",0.5618295869935537
2,14,16,0,randint,8,"[{'split': 0, 'minmax': 158977.0}, {'split': 1, 'minmax': 158970.5}]",0.6106437150010606
2,14,16,0,randint,9,"[{'split': 0, 'minmax': 277541.0}, {'split': 1, 'minmax': 277531.0}]",0.6072766610013787
2,14,16,0,normal,0,"[{'split': 0, 'minmax': 65650.0}, {'split': 1, 'minmax': 65509.0}]",0.4728279099945212
2,14,16,0,normal,1,"[{'split': 0, 'minmax': 144836.0}, {'split': 1, 'minmax': 144809.0}]",0.47984043099859264
2,14,16,0,normal,2,"[{'split': 0, 'minmax': 59341.0}, {'split': 1, 'minmax': 59334.5}]",0.39360812700761016
2,14,16,0,normal,3,"[{'split': 0, 'minmax': -108314.0}]",0.026957880007103086
2,14,16,0,normal,4,"[{'split': 0, 'minmax': -118739.0}, {'split': 1, 'minmax': -118745.0}]",0.6555816019972553
2,14,16,0,normal,5,"[{'split': 0, 'minmax': 131893.0}, {'split': 1, 'minmax': 131846.5}]",0.5306611980049638
2,14,16,0,normal,6,"[{'split': 0, 'minmax': -96574.0}, {'split': 1, 'minmax': -96576.0}]",0.6917106869950658
2,14,16,0,normal,7,"[{'split': 0, 'minmax': -80428.0}, {'split': 1, 'minmax': -80449.5}]",0.7205686780071119
